case_id,description_complete
1937-01-01656,"[Forme] 3D - 2 axes de symétrie - Sphérique, Boule | [Forme 2] Autre | [Couleur] Blanc | [Couleur 2] nan | [Luminosité] Inconnu | [Taille] ""x < 0.04° ou """"Ponctuelle"""""""
1947-08-09060,"[Forme] nan | [Forme 2] nan | [Couleur] Non précisé | [Couleur 2] nan | [Luminosité] nan | [Taille] Autres (comparaison, repères, etc.) | [Détails visuels] Le témoin mène ses vaches au pré lorsqu'il voit, très haut dans le ciel, un objet brillant se déplaçant d'est en ouest à très grande vitesse, stoppant net pendant 30 secondes avant de repartir très vite et disparaître L'observation relatée ressemble à un Phénomène Lumineux Orageux Transitoire (P Par contre, le témoin décrit un phénomène de forme cylindrique ou parallélépipédique a priori incompatible avec ces phénomènes généralement sphériques"
1951-06-00002,"[Forme] 3D - 2 axes de symétrie - Sphérique, Boule | [Forme 2] nan | [Couleur] Non précisé | [Couleur 2] nan | [Luminosité] nan | [Taille] Autres (comparaison, repères, etc.) | [Détails visuels] Un des pilotes est surpris de voir un engin d'apparence circulaire ou sphérique argenté et très brillant dans le ciel"
1951-06-00002,"[Forme] 3D - 2 axes de symétrie - Sphérique, Boule | [Forme 2] nan | [Couleur] Non précisé | [Couleur 2] nan | [Luminosité] nan | [Taille] Autres (comparaison, repères, etc.) | [Détails visuels] Un des pilotes est surpris de voir un engin d'apparence circulaire ou sphérique argenté et très brillant dans le ciel"
1951-08-00003,"[Forme] Autre forme non catégorisée | [Forme 2] Autre | [Couleur] Non précisé | [Couleur 2] Chg direction, niveau de vol | [Luminosité] Inconnu | [Taille] nan | [Détails visuels] En aout 1951 vers minuit un témoin à Biarritz au bord d'une falaise est surpris par le passage le long de la côte d'une masse volante ayant la forme de deux assiettes à soupe accolées portant sur son pourtour des zones en forme de hublots d'où émane une fluorescence verdâtre"
1952-06-00004,"[Forme] Forme Floue - Halo, Lumière ; 2D - Rond | [Forme 2]  Termes descriptifs (lumières, forme, etc.) | [Couleur] Orangé, feu | [Couleur 2] Chg direction, niveau de vol | [Luminosité] Linéaire ou Rectiligne | [Taille] ""x < 0.04° ou """"Ponctuelle"""""" | [Détails visuels] Le 1er juin 1952 à 2h40 du matin, deux personnes d'un équipage d'un navire au mouillage en rade de Port-Gentil (Gabon), observent un phénomène lumineux dans le ciel Il téléphone au commandant qui regarde alors avec des jumelles et qui voit durant trois minutes une lueur circulaire orange extrêmement lumineuse et phosphorescente"
1952-09-08193,"[Forme] 3D - 2 axes de symétrie - Sphérique, Boule | [Forme 2]  Engin | [Couleur] Non précisé | [Couleur 2] Autre | [Luminosité] Montante | [Taille] Chiffrée | [Détails visuels] Tout proche, un engin circulaire de couleur gris métallisé stationne au-dessus d'un champ à environ 15m d'altitude"
1953-04-00005,"[Forme] 1D - Ponctuel (point) | [Forme 2]  Objet | [Couleur] Rouge | [Couleur 2] Chg direction, niveau de vol | [Luminosité] Autre | [Taille] ""0.04 < x < 0.1° ou """"Très petite/Minuscule"""""" | [Description] Observations de l'aller-retour d'un phénomène lumineux rouge-orangé dans le ciel : Phénomène étrange à très étrange/ de consistance moyenne à forte"
1953-11-00006,"[Forme] Autre forme non catégorisée | [Forme 2]  Objet | [Couleur] Blanc | [Couleur 2] nan | [Luminosité] Stationnaire, Immobile | [Taille] ""x < 0.04° ou """"Ponctuelle"""""""
1954-08-08234,"[Forme] nan | [Forme 2] nan | [Couleur] Non précisé | [Couleur 2] nan | [Luminosité] nan | [Taille] Autres (comparaison, repères, etc.) | [Détails visuels] A Saint-Clotilde, un jour en fin de journée, des personnes attablées sont soudain surprises de voir tomber du ciel un disque orange-feu, très lumineux Le disque repart ensuite à grande vitesse dans une trajectoire ascendante à 45° vers l'Est avant de disparaitre"
1954-09-00007,"[Forme] 3D - 2 axes de symétrie - Sphérique, Boule | [Forme 2]  Termes descriptifs (lumières, forme, etc.) | [Couleur] Noir | [Couleur 2] Chg direction, niveau de vol | [Luminosité] Descendante | [Taille] Autres (comparaison, repères, etc.) | [Détails visuels] T prés du cap Spartel (Maroc) observent la présence très haut dans le ciel d'une tache noire circulaire ayant approximativement les dimensions d'un avion"
1954-09-00008,"[Forme] 3D - 1 axe de symétrie - Cylindrique | [Forme 2]  Objet | [Couleur] Non précisé | [Couleur 2] Montante | [Luminosité] Montante | [Taille] Chiffrée | [Détails visuels] Ils observent au sol dans un champ à 200m de la route, une forme circulaire affectée d'un mouvement oscillatoire Les deux témoins décrivent un cylindre de couleur sombre à la surface supérieure légèrement bombée et avec une ouverture sur le tour"
1954-09-00008,"[Forme] 3D - 1 axe de symétrie - Cylindrique | [Forme 2]  Objet | [Couleur] Noir | [Couleur 2] Montante | [Luminosité] Montante | [Taille] Chiffrée | [Détails visuels] Ils observent au sol dans un champ à 200m de la route, une forme circulaire affectée d'un mouvement oscillatoire Les deux témoins décrivent un cylindre de couleur sombre à la surface supérieure légèrement bombée et avec une ouverture sur le tour"
1954-09-00010,[Forme] Autre forme non catégorisée | [Forme 2] Autre | [Couleur] Non précisé | [Couleur 2] nan | [Luminosité] Inconnu | [Taille] Chiffrée
1954-09-00010,"[Forme] Autre forme non catégorisée | [Forme 2] Autre | [Couleur] Non précisé | [Couleur 2] nan | [Luminosité] Inconnu | [Taille] Autres (comparaison, repères, etc.)"
1954-09-00010,"[Forme] 2D - Rectangulaire | [Forme 2]  Engin | [Couleur] Non précisé | [Couleur 2] nan | [Luminosité] nan | [Taille] Autres (comparaison, repères, etc.)"
